host_id;host_url;host_name;host_since;host_ville;host_pays;host_about;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_total_listings_count
19323972;https://www.airbnb.com/users/show/19323972;Maite;41853;Ciboure;France;;within an hour;1;0;0;1;5
72738649;https://www.airbnb.com/users/show/72738649;Sophie;42508;Hasparren;France;;within an hour;1;1;0;1;1
19783923;https://www.airbnb.com/users/show/19783923;Simon;41861;Lyon;France;;within an hour;1;0,88;1;1;1
16904920;https://www.airbnb.com/users/show/16904920;Sabine;41807;Cambo-les-Bains;France;;within a few hours;1;0,95;1;1;2
99431574;https://www.airbnb.com/users/show/99431574;Damien;42655;Anglet;France;;;;0,86;0;1;1
60815183;https://www.airbnb.com/users/show/60815183;Paul;42428;Paris;France;Nous sommes paul et marina deux hôtes sympathiques et agréables qui vous accueilleront  dans une maison neuve et charmante à deux pas d’une plage. ;within an hour;1;1;1;1;1
61056780;https://www.airbnb.com/users/show/61056780;Quitterie;42430;Saint-Vincent-de-Tyrosse;France;;;;;0;1;3
122186759;https://www.airbnb.com/users/show/122186759;Sylvie;42817;Ascain;France;Passionnée de voyages, j'ai séjourné un peu partout dans le monde dans des logements Airbnb. Aujourd'hui je propose de mettre mon propre appartement à votre disposition pour que vous puissiez découvrir le pays basque.;within an hour;1;0,95;0;1;1
291879039;https://www.airbnb.com/users/show/291879039;Pamela;43712;;;;;;0;0;2;2
292532821;https://www.airbnb.com/users/show/292532821;Maider;43714;Beyrie-sur-Joyeuse;France;;within a few hours;1;1;0;1;1
14852155;https://www.airbnb.com/users/show/14852155;Julien;41757;Saint-Paul-lès-Dax;France;;within an hour;0,75;0,93;1;1;1
21761101;https://www.airbnb.com/users/show/21761101;Guillaume;41907;;;;within a few hours;1;0,92;1;1;1
130943373;https://www.airbnb.com/users/show/130943373;Laurent;42873;Biarritz;France;;;;0;0;1;1
27399872;https://www.airbnb.com/users/show/27399872;Frédéric;42043;Anglet;France;;within a day;1;0,69;0;1;1
